candidate,i,agent,trigger,tool,expected_kind,expected_id,raw,decision_kind,decision_id,verdict,latency_s
markdown,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.199
markdown,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,0.973
markdown,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.158
markdown,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.486
markdown,5,inventory_agent,tool_call,update_stock,Violation,,Violation:tool_not_in_process_model,Violation,,correct,1.657
markdown,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_on_tray,Execution,A04,correct,1.583
markdown,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.170
markdown,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.133
markdown,9,barista_agent,tool_call,end_preparation,Execution,A05b,Execution:A05b:brew_coffee,Execution,A05b,correct,1.088
markdown,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:tool_ownership_violation_place_on_tray_not_owned_by_barista_agent,Violation,,correct,1.191
markdown,11,barista_agent,message,,Violation,,Violation:barista_agent_cannot_send_message_trigger_activity,Violation,,correct,1.151
yaml,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,0.976
yaml,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.062
yaml,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.032
yaml,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.064
yaml,5,inventory_agent,tool_call,update_stock,Violation,,Violation:unknown_tool_update_stock,Violation,,correct,1.059
yaml,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.021
yaml,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.343
yaml,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.041
yaml,9,barista_agent,tool_call,end_preparation,Execution,A05b,Execution:A05b:brew_coffee,Execution,A05b,correct,1.218
yaml,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_cannot_execute_place_on_tray,Violation,,correct,1.132
yaml,11,barista_agent,message,,Violation,,Violation:barista_agent_message_not_in_process_model,Violation,,correct,1.208
dsl,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.048
dsl,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,0.977
dsl,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.081
dsl,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.069
dsl,5,inventory_agent,tool_call,update_stock,Violation,,Violation:unknown_tool_update_stock,Violation,,correct,1.157
dsl,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.244
dsl,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.133
dsl,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,2.147
dsl,9,barista_agent,tool_call,end_preparation,Execution,A05b,Execution:A05b:brew_coffee,Execution,A05b,correct,1.054
dsl,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_cannot_call_place_on_tray,Violation,,correct,1.041
dsl,11,barista_agent,message,,Violation,,Violation:barista_agent_message_no_activity_exists,Violation,,correct,1.240
bpmn_md,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.441
bpmn_md,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.103
bpmn_md,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,2.026
bpmn_md,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.255
bpmn_md,5,inventory_agent,tool_call,update_stock,Violation,,Violation:tool_call_outside_activity_scope,Violation,,correct,1.255
bpmn_md,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.114
bpmn_md,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.288
bpmn_md,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,0.999
bpmn_md,9,barista_agent,tool_call,end_preparation,Execution,A05b,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.242
bpmn_md,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_executing_inventory_activity_place_on_tray,Violation,,correct,1.311
bpmn_md,11,barista_agent,message,,Violation,,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.201
bpmn_dsl,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.090
bpmn_dsl,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.258
bpmn_dsl,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.124
