variant,i,agent,trigger,tool,expected_kind,expected_id,raw,decision_kind,decision_id,verdict,latency_s
v1_baseline,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.354
v1_baseline,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.108
v1_baseline,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.089
v1_baseline,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.176
v1_baseline,5,inventory_agent,tool_call,update_stock,Violation,,Violation:inventory_agent_executing_tool_outside_defined_activities,Violation,,correct,1.195
v1_baseline,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.233
v1_baseline,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.287
v1_baseline,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.419
v1_baseline,9,barista_agent,tool_call,end_preparation,Execution,A05b,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.096
v1_baseline,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_executing_inventory_activity_place_food_on_tray,Violation,,correct,1.095
v1_baseline,11,barista_agent,message,,Violation,,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.081
v2_multi_message,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.161
v2_multi_message,2,order_agent,tool_call,process_order,Execution,A02,Execution:A01:identify_customer_request,Execution,A01,wrong,1.117
v2_multi_message,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.114
v2_multi_message,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.156
v2_multi_message,5,inventory_agent,tool_call,update_stock,Violation,,Execution:A03:check_stock,Execution,A03,wrong,1.125
v2_multi_message,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.116
v2_multi_message,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.199
v2_multi_message,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.276
v2_multi_message,9,barista_agent,tool_call,end_preparation,Execution,A05b,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.169
v2_multi_message,10,barista_agent,tool_call,place_on_tray,Violation,,Violation:barista_agent_tool_call_outside_activity_scope,Violation,,correct,1.411
v2_multi_message,11,barista_agent,message,,Violation,,Termination:A05:brew_coffee:via_handoff_to_order_agent,Termination,A05,wrong,1.242
v3_tool_inventory,1,order_agent,message,,Execution,A01,Execution:A01:identify_customer_request,Execution,A01,correct,1.269
v3_tool_inventory,2,order_agent,tool_call,process_order,Execution,A02,Execution:A02:create_order,Execution,A02,correct,1.169
v3_tool_inventory,3,order_agent,handoff,transfer_to_agent,Termination,A02,Termination:A02:create_order:via_handoff_to_inventory_agent,Termination,A02,correct,1.052
v3_tool_inventory,4,inventory_agent,tool_call,check_inventory,Execution,A03,Execution:A03:check_stock,Execution,A03,correct,1.625
v3_tool_inventory,5,inventory_agent,tool_call,update_stock,Violation,,Violation:update_stock_not_in_process_model,Violation,,correct,1.165
v3_tool_inventory,6,inventory_agent,tool_call,place_on_tray,Execution,A04,Execution:A04:place_food_on_tray,Execution,A04,correct,1.076
v3_tool_inventory,7,inventory_agent,handoff,transfer_to_agent,Termination,A04,Termination:A04:place_food_on_tray:via_handoff_to_barista_agent,Termination,A04,correct,1.123
v3_tool_inventory,8,barista_agent,tool_call,start_preparation,Execution,A05,Execution:A05:brew_coffee,Execution,A05,correct,1.101
v3_tool_inventory,9,barista_agent,tool_call,end_preparation,Execution,A05b,Execution:A05:brew_coffee,Execution,A05,wrong,1.153
